action_name,action_value,app_type,event_id,map_keys
action,322,likee,104012,"post_id,login_test,login_page_mode,login_group,active_time,uid,source,have_age,login_src_fromlist,login_type,login_pattern,send_loginlbs_src,code_page_time,phone_result,have_quick_register,login_page_pattern,sms_send,verify_page_source,email_fail_reason,user_message_collect,login_src,diamond_time,3rd_party_auth_error,diamond_is,login_result,mobile_num"
action,392,likee,104012,"login_test,login_page_mode,sms_check_time,with_username,is_cloud,flashcall_fail,fail_reason,is_login_info,have_age,login_src_fromlist,is_sim_number_equal_call,flashcall_prefix,login_type,code_verification_src,is_uid_save,get_pin_count,code_page_time,duration,login_src,cookie_nums,is_sim,is_psw_hit,mobile_num,is_time_out,phone_login_from,post_id,is_call_log,login_group,active_time,is_cloud_login,uid,verification_method,call_state,source,call_log_number,is_success,is_end_call,send_loginlbs_src,login_pattern,method_page_source,phone_register_from,phone_result,have_quick_register,login_page_pattern,sms_send,verify_page_source,email_fail_reason,required_pincode_type,diamond_time,is_listen,diamond_is,login_result"
action,4,likee,104012,"likeapp,locale,login_group,trending_type,uid,net,from_page,source,lang,event_id,networktype,from,msgid,deviceversion,imsi,sms_send,country,deviceos,downlink,currenturl"
action,430,likee,104012,"sms_check_time,login_page_mode,login_test,with_username,is_cloud,flashcall_fail,fail_reason,is_login_info,have_age,flashcall_prefix,is_sim_number_equal_call,code_verification_src,login_type,login_src_fromlist,is_uid_save,get_pin_count,code_page_time,duration,user_message_collect,login_src,is_sim,cookie_nums,is_psw_hit,mobile_num,is_time_out,post_id,is_call_log,login_group,active_time,is_cloud_login,uid,verification_method,call_state,source,call_log_number,is_success,is_end_call,method_page_source,send_loginlbs_src,phone_register_from,login_pattern,phone_result,have_quick_register,login_page_pattern,sms_send,verify_page_source,email_fail_reason,required_pincode_type,diamond_time,is_listen,diamond_is,login_result"
action,461,likee,104012,"sms_check_time,login_page_mode,login_test,with_username,is_cloud,flashcall_fail,fail_reason,is_login_info,have_age,flashcall_prefix,code_verification_src,is_sim_number_equal_call,login_type,login_src_fromlist,is_uid_save,get_pin_count,code_page_time,duration,user_message_collect,login_src,is_psw_hit,cookie_nums,is_sim,mobile_num,is_time_out,post_id,is_call_log,login_group,active_time,is_cloud_login,uid,verification_method,call_state,source,call_log_number,is_success,is_end_call,method_page_source,send_loginlbs_src,phone_register_from,login_pattern,phone_result,have_quick_register,login_page_pattern,sms_send,verify_page_source,email_fail_reason,required_pincode_type,diamond_time,is_listen,diamond_is,login_result"
action,470,likee,104012,"login_test,login_page_mode,sms_check_time,with_username,is_cloud,flashcall_fail,fail_reason,is_login_info,have_age,login_src_fromlist,code_verification_src,is_sim_number_equal_call,login_type,flashcall_prefix,is_uid_save,get_pin_count,code_page_time,duration,user_message_collect,login_src,is_psw_hit,is_sim,cookie_nums,mobile_num,is_time_out,post_id,is_call_log,login_group,active_time,is_cloud_login,uid,verification_method,call_state,source,call_log_number,is_success,is_end_call,method_page_source,login_pattern,send_loginlbs_src,phone_register_from,have_quick_register,login_page_pattern,sms_send,verify_page_source,email_fail_reason,_linkd_,required_pincode_type,diamond_time,is_listen,diamond_is,login_result"
action,517,likee,104012,"sms_check_time,login_page_mode,login_test,with_username,is_cloud,flashcall_fail,fail_reason,is_login_info,have_age,code_verification_src,login_src_fromlist,flashcall_prefix,is_sim_number_equal_call,is_uid_save,login_type,get_pin_count,code_page_time,duration,user_message_collect,login_src,cookie_nums,is_sim,is_psw_hit,mobile_num,is_time_out,post_id,is_call_log,login_group,active_time,is_cloud_login,uid,verification_method,call_state,source,call_log_number,is_success,is_end_call,method_page_source,login_pattern,phone_register_from,send_loginlbs_src,phone_result,have_quick_register,login_page_pattern,sms_send,verify_page_source,email_fail_reason,required_pincode_type,diamond_time,is_listen,diamond_is,login_result"
action,29,likee,104016,"kol_uid,follow_talent,reddot_num,access_src,click_uid,follow_friend,page_entrance,discover_friend_source,fetch_talent_time,show_friend,access_source,total_friend,total_talent,_linkd_,show_second_friend,show_talent_friend,friend_type"
action,61,likee,104016,"kol_uid,nearby_uid,follow_talent,reddot_num,access_src,click_uid,follow_friend,page_entrance,discover_friend_source,fetch_talent_time,show_friend,access_source,total_friend,total_talent,_linkd_,show_second_friend,show_talent_friend,friend_type"
action,16,likee,104034,"undeal_status,network_status,_linkd_"
